r	mu	stdev	T	lambda	t1	c1	c_hat1	t2	c2	c_hat2	t3	c3	c_hat3	b3	b_hat3	b2	b_hat2	b1	b_hat1	V_M	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	TotalTime
2	1	0.05	0.2	0.2	0	1	1	0.1	1.2	0.8	0.2	1.4	0.6	-0.02342224121	0.02342224121	-0.01426696777	0.01457214355	0.0005340576172	0.0005340576172	0.9604323391	1.040513253	0.9603072336	0.003425909192	0.002494037944	0.0009318712484	7.307430947
2	1	0.05	0.3	0.02	0	1	1	0.15	1.02	0.98	0.3	1.04	0.96	-0.002059936523	0.002059936523	-0.009689331055	0.01487731934	0.007705688477	0.007705688477	0.9654581761	0.9599802259	0.9656130574	0.003246099314	0.002140994994	0.00110510432	7.145786447
2	1	0.05	0.3	0.04	0	1	1	0.15	1.04	0.96	0.3	1.08	0.92	-0.004196166992	0.004196166992	-0.01243591309	0.01487731934	0.002670288086	0.002670288086	0.964772835	0.9692999478	0.9648823465	0.003245686969	0.002171575224	0.001074111745	7.153994184
2	1	0.05	0.3	0.06	0	1	1	0.15	1.06	0.94	0.3	1.12	0.88	-0.006332397461	0.006332397461	-0.01319885254	0.01411437988	0.002517700195	0.002517700195	0.9641396244	1.09310905	0.9642701091	0.003255235963	0.002203868764	0.001051367199	7.466639159
2	1	0.05	0.3	0.08	0	1	1	0.15	1.08	0.92	0.3	1.16	0.84	-0.00846862793	0.00846862793	-0.01319885254	0.01426696777	0.001907348633	0.001907348633	0.963575227	0.9903337669	0.9636396063	0.003271125698	0.002237640999	0.001033484699	7.22223686
2	1	0.05	0.3	0.1	0	1	1	0.15	1.1	0.9	0.3	1.2	0.8	-0.0106048584	0.0106048584	-0.01319885254	0.01426696777	0.00129699707	0.00129699707	0.9630723526	0.980346387	0.9630880754	0.003280623431	0.002265754492	0.001014868939	7.211941156
2	1	0.05	0.3	0.12	0	1	1	0.15	1.12	0.88	0.3	1.24	0.76	-0.01274108887	0.01274108887	-0.0138092041	0.01426696777	0.0009918212891	0.0009918212891	0.9626239555	0.989954727	0.9626401554	0.003289747395	0.002293082357	0.0009966650387	7.307037399
2	1	0.05	0.3	0.14	0	1	1	0.15	1.14	0.86	0.3	1.28	0.72	-0.01502990723	0.01502990723	-0.01396179199	0.01457214355	0.0008392333984	0.0008392333984	0.9622254142	0.992447909	0.9621823122	0.003310632612	0.002325215567	0.0009854170456	7.217564745
2	1	0.05	0.3	0.16	0	1	1	0.15	1.16	0.84	0.3	1.32	0.68	-0.01731872559	0.01731872559	-0.01472473145	0.01502990723	0.0006866455078	0.0006866455078	0.961873042	1.004519321	0.9618558378	0.00332000494	0.002350028477	0.0009699764627	7.234265111
2	1	0.05	0.3	0.18	0	1	1	0.15	1.18	0.82	0.3	1.36	0.64	-0.01960754395	0.01960754395	-0.01487731934	0.01533508301	0.0003814697266	0.0003814697266	0.9615632243	1.009558555	0.9615004336	0.003327786606	0.002369921153	0.0009578654532	7.337706644
