r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.05	0.2	0.18	0	1	0.1	1.18	0.2	1.36	-0.02098083496	-0.0138092041	-0.00373840332	0.9602520952	1	0	0.960105772	1.355772553	0.9602919225	0.003410295671	0.002509463039	0.0009008326322	0.9597568472	0.003468620305	0.002573392094	0.0008952282108	6.543390833
2	1	0.05	0.2	0.2	0	1	0.1	1.2	0.2	1.4	-0.02342224121	-0.01441955566	-0.003128051758	0.9601505781	1	0	0.960105772	1.406001517	0.9601534253	0.003417904748	0.002518905737	0.0008989990113	0.9597201436	0.003470825439	0.002574236357	0.0008965890816	6.664652368
2	1	0.05	0.3	0.02	0	1	0.15	1.02	0.3	1.04	-0.002059936523	-0.02540588379	-0.03395080566	0.9647655448	1	0	0.960105772	1.570357615	0.9649705753	0.003224331747	0.002169679226	0.001054652521	0.959710641	0.003482142458	0.002584685668	0.00089745679	6.836269377
2	1	0.05	0.3	0.04	0	1	0.15	1.04	0.3	1.08	-0.004196166992	-0.02052307129	-0.02510070801	0.9638230855	1	0	0.960105772	1.380068824	0.9639709314	0.003247782081	0.00223446464	0.001013317441	0.95968253	0.003486843402	0.002588109227	0.0008987341759	6.585576198
2	1	0.05	0.3	0.06	0	1	0.15	1.06	0.3	1.12	-0.006332397461	-0.01808166504	-0.01976013184	0.9631091263	1	0	0.960105772	1.359271729	0.9632278135	0.003266342232	0.002282721552	0.0009836206794	0.9596910505	0.003483005082	0.002584830194	0.0008981748881	6.575303699
2	1	0.05	0.3	0.08	0	1	0.15	1.08	0.3	1.16	-0.00846862793	-0.01670837402	-0.01609802246	0.9625412332	1	0	0.960105772	1.330468046	0.9626376696	0.003279309954	0.002319857054	0.0009594528997	0.9597015274	0.00347993496	0.002582411282	0.0008975236779	6.829349526
2	1	0.05	0.3	0.1	0	1	0.15	1.1	0.3	1.2	-0.0106048584	-0.01594543457	-0.01319885254	0.9620781733	1	0	0.960105772	1.36698569	0.9621340837	0.003307052638	0.002360822379	0.0009462302585	0.9596754384	0.003484396713	0.002585439244	0.0008989574691	6.566031944
2	1	0.05	0.3	0.12	0	1	0.15	1.12	0.3	1.24	-0.01274108887	-0.0154876709	-0.01106262207	0.9616951189	1	0	0.960105772	1.335088296	0.961746032	0.003323051766	0.00238963218	0.0009334195863	0.959687193	0.003483695953	0.002585434505	0.0008982614483	6.535876061
2	1	0.05	0.3	0.14	0	1	0.15	1.14	0.3	1.28	-0.01502990723	-0.01533508301	-0.009231567383	0.9613753603	1	0	0.960105772	1.463070944	0.9614297432	0.003333058564	0.002411736666	0.0009213218974	0.9597157099	0.003477451021	0.002580653924	0.0008967970972	6.914820341
2	1	0.05	0.3	0.16	0	1	0.15	1.16	0.3	1.32	-0.01731872559	-0.01533508301	-0.007858276367	0.9611067239	1	0	0.960105772	1.387225139	0.9611325505	0.003350323874	0.002435829593	0.0009144942804	0.9596982142	0.003481834525	0.002583825965	0.0008980085605	6.60153574
2	1	0.05	0.3	0.18	0	1	0.15	1.18	0.3	1.36	-0.01960754395	-0.01564025879	-0.006637573242	0.9608805442	1	0	0.960105772	1.348923176	0.9609003731	0.00336175913	0.002453485349	0.0009082737807	0.9596991128	0.003479500828	0.002581916495	0.000897584333	6.576633203
2	1	0.05	0.3	0.2	0	1	0.15	1.2	0.3	1.4	-0.0218963623	-0.01594543457	-0.005569458008	0.9606896485	1	0	0.960105772	1.349302752	0.960679073	0.003379019125	0.002473483558	0.0009055355666	0.9596863789	0.00348046248	0.002582531335	0.0008979311449	6.722403335
2	1	0.05	0.4	0.02	0	1	0.2	1.02	0.4	1.04	-0.001907348633	-0.03105163574	-0.04203796387	0.9669182821	1	0	0.960105772	1.307346208	0.9671007999	0.003141299037	0.002030934247	0.00111036479	0.9596434818	0.003491916133	0.002591998136	0.0008999179976	6.533504144
2	1	0.05	0.4	0.04	0	1	0.2	1.04	0.4	1.08	-0.003890991211	-0.0252532959	-0.0318145752	0.9657315424	1	0	0.960105772	1.300491135	0.9658915153	0.003166122986	0.002105119584	0.001061003402	0.9596401862	0.003493164531	0.002592841254	0.0009003232773	6.492699059
2	1	0.05	0.4	0.06	0	1	0.2	1.06	0.4	1.12	-0.005874633789	-0.02220153809	-0.02555847168	0.9648091016	1	0	0.960105772	1.419690063	0.9649424092	0.003185679096	0.002164829432	0.001020849664	0.9596693296	0.003488502718	0.002589622442	0.0008988802756	6.684320846
2	1	0.05	0.4	0.08	0	1	0.2	1.08	0.4	1.16	-0.007858276367	-0.0203704834	-0.02113342285	0.9640577741	1	0	0.960105772	1.36511368	0.9641694667	0.003206472154	0.002214970581	0.0009915015733	0.9596798768	0.003485720363	0.00258723655	0.000898483813	6.792720604
2	1	0.05	0.4	0.1	0	1	0.2	1.1	0.4	1.2	-0.009841918945	-0.01914978027	-0.01777648926	0.9634309524	1	0	0.960105772	1.337642015	0.9635190043	0.003232627111	0.002262795232	0.0009698318783	0.9596605499	0.003489611952	0.002590336801	0.0008992751509	6.536841142
2	1	0.05	0.4	0.12	0	1	0.2	1.12	0.4	1.24	-0.01182556152	-0.01838684082	-0.01518249512	0.9629003694	1	0	0.960105772	1.391010127	0.962916805	0.003255512042	0.002302216471	0.0009532955707	0.9596086665	0.00349401213	0.002592826413	0.0009011857177	6.595689957
2	1	0.05	0.4	0.14	0	1	0.2	1.14	0.4	1.28	-0.0138092041	-0.01792907715	-0.01304626465	0.962446938	1	0	0.960105772	1.428767151	0.9625219956	0.003262821532	0.002327282613	0.0009355389189	0.9597036697	0.003481543403	0.002584290409	0.0008972529942	6.905997855
2	1	0.05	0.4	0.16	0	1	0.2	1.16	0.4	1.32	-0.01594543457	-0.01762390137	-0.01121520996	0.9620571433	1	0	0.960105772	1.371644264	0.9620661705	0.003290947879	0.002364103903	0.0009268439759	0.9596453449	0.003491717669	0.002591646248	0.000900071421	6.552952531
2	1	0.05	0.4	0.18	0	1	0.2	1.18	0.4	1.36	-0.01808166504	-0.01762390137	-0.009536743164	0.961720552	1	0	0.960105772	1.367692165	0.9617019764	0.00331689202	0.002396936782	0.0009199552377	0.9596392295	0.003493923886	0.002593830561	0.000900093325	6.55143501
2	1	0.05	0.4	0.2	0	1	0.2	1.2	0.4	1.4	-0.0203704834	-0.01777648926	-0.008316040039	0.9614293701	1	0	0.960105772	1.371232701	0.9614547022	0.003318666607	0.002410275023	0.0009083915845	0.9596967355	0.00348530819	0.002587281761	0.0008980264285	6.82474406
2	1	0.05	0.5	0.02	0	1	0.25	1.02	0.5	1.04	-0.001754760742	-0.0365447998	-0.0496673584	0.9693068594	1	0	0.960105772	1.390857104	0.9694637345	0.003058766219	0.001900732088	0.001158034131	0.9595740685	0.003504783778	0.002602034953	0.0009027488246	6.615640207
2	1	0.05	0.5	0.04	0	1	0.25	1.04	0.5	1.08	-0.00358581543	-0.02998352051	-0.0382232666	0.9678839421	1	0	0.960105772	1.381470099	0.9680508874	0.003076459199	0.001971644781	0.001104814418	0.9596294671	0.00349484684	0.002594422547	0.0009004242935	6.606881853
2	1	0.05	0.5	0.06	0	1	0.25	1.06	0.5	1.12	-0.005264282227	-0.02632141113	-0.03120422363	0.9667564304	1	0	0.960105772	1.377927364	0.9669144464	0.00310935572	0.002046779581	0.00106257614	0.9596510389	0.003494964792	0.002595070854	0.0008998939386	6.630970624
2	1	0.05	0.5	0.08	0	1	0.25	1.08	0.5	1.16	-0.007095336914	-0.02403259277	-0.02632141113	0.9658217996	1	0	0.960105772	1.658092333	0.9659186321	0.003134534485	0.002108280194	0.001026254291	0.959610088	0.003499756383	0.002598580928	0.0009011754547	6.891722362
2	1	0.05	0.5	0.1	0	1	0.25	1.1	0.5	1.2	-0.008926391602	-0.02235412598	-0.02235412598	0.965028562	1	0	0.960105772	1.318749462	0.9651307401	0.003159983769	0.002163306209	0.0009966775596	0.9596582382	0.003495399556	0.002595851122	0.0008995484337	6.541656912
2	1	0.05	0.5	0.12	0	1	0.25	1.12	0.5	1.24	-0.01075744629	-0.02128601074	-0.01930236816	0.9643458226	1	0	0.960105772	1.369433899	0.964383648	0.003185282775	0.002210644825	0.0009746379501	0.9596037069	0.003499596152	0.002598108514	0.000901487638	6.571712125
2	1	0.05	0.5	0.14	0	1	0.25	1.14	0.5	1.28	-0.01274108887	-0.02052307129	-0.01670837402	0.9637526757	1	0	0.960105772	1.373456789	0.9637975085	0.003201718207	0.002249041813	0.0009526763945	0.959649194	0.003495223647	0.002595495216	0.0008997284303	6.802508517
2	1	0.05	0.5	0.16	0	1	0.25	1.16	0.5	1.32	-0.01457214355	-0.02006530762	-0.01457214355	0.9632337402	1	0	0.960105772	1.404127634	0.9632289394	0.003233812701	0.002291848661	0.0009419640395	0.9595849883	0.003503592082	0.002601057792	0.0009025342904	6.600759334
2	1	0.05	0.5	0.18	0	1	0.25	1.18	0.5	1.36	-0.01655578613	-0.01976013184	-0.01274108887	0.9627779326	1	0	0.960105772	1.437050664	0.9627822761	0.003249226694	0.002321713345	0.0009275133498	0.9596206441	0.003499016216	0.002598041011	0.0009009752052	6.650577244
2	1	0.05	0.5	0.2	0	1	0.25	1.2	0.5	1.4	-0.01853942871	-0.01960754395	-0.01106262207	0.9623763052	1	0	0.960105772	1.410039022	0.9624126349	0.003262913143	0.002346417867	0.0009164952762	0.9596804366	0.003488560683	0.002590159885	0.0008984007985	6.869756092
2	1	0.05	0.6	0.02	0	1	0.3	1.02	0.6	1.04	-0.001602172852	-0.04188537598	-0.05714416504	0.9719905252	1	0	0.960105772	1.240386579	0.972220485	0.002965615695	0.001770875886	0.001194739809	0.9596306168	0.003500689376	0.002599914398	0.0009007749781	6.47626254
2	1	0.05	0.6	0.04	0	1	0.3	1.04	0.6	1.08	-0.003128051758	-0.03456115723	-0.04463195801	0.9703331745	1	0	0.960105772	1.357028475	0.9704807638	0.003001501487	0.001854515133	0.001146986354	0.9595754382	0.003507290155	0.002604388198	0.0009029019572	6.561591125
2	1	0.05	0.6	0.06	0	1	0.3	1.06	0.6	1.12	-0.004806518555	-0.03044128418	-0.03684997559	0.9689985612	1	0	0.960105772	1.366131979	0.9691513061	0.003022928336	0.001924761836	0.0010981665	0.9596183175	0.003500691924	0.002599650577	0.0009010413472	6.633562992
2	1	0.05	0.6	0.08	0	1	0.3	1.08	0.6	1.16	-0.006332397461	-0.02769470215	-0.03135681152	0.9678763202	1	0	0.960105772	1.599265149	0.9679872414	0.003055732386	0.001996800462	0.001058931924	0.9595986378	0.003504652319	0.00260275652	0.0009018957996	6.826130187
2	1	0.05	0.6	0.1	0	1	0.3	1.1	0.6	1.2	-0.008010864258	-0.02571105957	-0.02708435059	0.9669107168	1	0	0.960105772	1.320769384	0.9670132538	0.003080425916	0.002057486078	0.001022939838	0.9596157386	0.003503740311	0.002602317593	0.0009014227175	6.532147127
2	1	0.05	0.6	0.12	0	1	0.3	1.12	0.6	1.24	-0.009689331055	-0.02433776855	-0.0235748291	0.9660684546	1	0	0.960105772	1.395574143	0.9661303287	0.003105146488	0.002110255493	0.0009948909953	0.9595915781	0.003501190601	0.002599583035	0.000901607566	6.655373958
2	1	0.05	0.6	0.14	0	1	0.3	1.14	0.6	1.28	-0.01136779785	-0.02326965332	-0.02067565918	0.9653268158	1	0	0.960105772	1.340236984	0.9654418204	0.003119263131	0.002151385036	0.0009678780948	0.9596847227	0.003490378603	0.002592246361	0.0008981322426	6.850566464
2	1	0.05	0.6	0.16	0	1	0.3	1.16	0.6	1.32	-0.01304626465	-0.02250671387	-0.01823425293	0.9646691546	1	0	0.960105772	1.356287836	0.9646776853	0.003158463345	0.002205459108	0.0009530042367	0.9595849491	0.003506737628	0.002604368862	0.0009023687658	6.541236216
2	1	0.05	0.6	0.18	0	1	0.3	1.18	0.6	1.36	-0.01472473145	-0.0220489502	-0.01609802246	0.9640834028	1	0	0.960105772	1.420870908	0.9641085783	0.003178784981	0.002242261247	0.0009365237345	0.9596256348	0.003503042946	0.002601981241	0.0009010617051	6.640814347
2	1	0.05	0.6	0.2	0	1	0.3	1.2	0.6	1.4	-0.01655578613	-0.02159118652	-0.01411437988	0.9635600757	1	0	0.960105772	1.472115221	0.9635978535	0.00319773468	0.002274041216	0.0009236934639	0.9596610462	0.003492484148	0.002593357313	0.0008991268353	6.965913267
2	1	0.05	0.7	0.02	0	1	0.35	1.02	0.7	1.04	-0.001449584961	-0.04722595215	-0.06462097168	0.9750769328	1	0	0.960105772	1.326711348	0.975296743	0.002874384678	0.001651611419	0.001222773259	0.9596106167	0.003503684466	0.002602381569	0.0009013028962	6.555300091
2	1	0.05	0.7	0.04	0	1	0.35	1.04	0.7	1.08	-0.002822875977	-0.03929138184	-0.05104064941	0.973179818	1	0	0.960105772	1.341897153	0.9733722251	0.00290747438	0.00173451283	0.00117296155	0.9596003792	0.003505877654	0.002604106277	0.0009017713772	6.556223237
2	1	0.05	0.7	0.06	0	1	0.35	1.06	0.7	1.12	-0.004196166992	-0.03471374512	-0.04280090332	0.9716302506	1	0	0.960105772	1.424185925	0.9718029523	0.002930410673	0.001805066508	0.001125344165	0.9596253854	0.003501822872	0.002600830386	0.0009009924854	6.804737062
2	1	0.05	0.7	0.08	0	1	0.35	1.08	0.7	1.16	-0.005569458008	-0.0316619873	-0.0366973877	0.9703105589	1	0	0.960105772	1.319773755	0.9704646827	0.002965952056	0.00187995009	0.001086001966	0.9596208621	0.003504646881	0.002603453056	0.000901193825	6.677435022
2	1	0.05	0.7	0.1	0	1	0.35	1.1	0.7	1.2	-0.006942749023	-0.02937316895	-0.03196716309	0.9691617546	1	0	0.960105772	1.372738774	0.9693068384	0.002991920862	0.001943900448	0.001048020414	0.9596430109	0.003500948347	0.002600659004	0.0009002893433	6.601305812
2	1	0.05	0.7	0.12	0	1	0.35	1.12	0.7	1.24	-0.008316040039	-0.02769470215	-0.02815246582	0.9681478526	1	0	0.960105772	1.34585156	0.9682401894	0.003024827216	0.002008756402	0.001016070815	0.9596059371	0.003506806689	0.002605078171	0.0009017285171	6.569458011
2	1	0.05	0.7	0.14	0	1	0.35	1.14	0.7	1.28	-0.009841918945	-0.02632141113	-0.02479553223	0.9672447671	1	0	0.960105772	1.600192147	0.9673198708	0.003049547043	0.002062566185	0.0009869808584	0.9596198474	0.003502195102	0.002601222098	0.0009009730041	6.944444045
2	1	0.05	0.7	0.16	0	1	0.35	1.16	0.7	1.32	-0.01136779785	-0.0252532959	-0.0220489502	0.9664346208	1	0	0.960105772	1.37360435	0.9664887567	0.003080524537	0.002115676013	0.0009648485248	0.9596088136	0.00350698972	0.002605218778	0.0009017709413	6.616720574
2	1	0.05	0.7	0.18	0	1	0.35	1.18	0.7	1.36	-0.01274108887	-0.02449035645	-0.01960754395	0.9657046289	1	0	0.960105772	1.368795177	0.9657268405	0.003111803467	0.002164814953	0.0009469885136	0.9595909933	0.003510931412	0.002608504734	0.0009024266784	6.54874503
2	1	0.05	0.7	0.2	0	1	0.35	1.2	0.7	1.4	-0.01441955566	-0.02388000488	-0.01747131348	0.9650444417	1	0	0.960105772	1.434035926	0.9651078258	0.00312181181	0.002194911739	0.0009269000715	0.9596629768	0.003496206326	0.00259693257	0.0008992737557	6.865824968
