r	mu	stdev	T	lambda	t1	c1	t2	c2	t3	c3	b3	b2	b1	V_M	n_S	b_S	V_S	DP_Time	mean_M	var_M	semivar_MD	semivar_MU	mean_S	var_S	semivar_SD	semivar_SU	TotalTime
2	1	0.1	0.2	0.18	0	1	0.1	1.18	0.2	1.36	-0.04186630249	-0.02756118774	-0.0075340271	2.516125638	1	0	2.514295356	2.361214617	2.515776125	0.08486263566	0.06134749357	0.02351514193	2.512814577	0.08621629342	0.06298418602	0.02323210742	7.920364267
2	1	0.1	0.2	0.2	0	1	0.1	1.2	0.2	1.4	-0.04682540894	-0.02870559692	-0.006198883057	2.515565485	1	0	2.514295356	2.368264033	2.514968228	0.08518423177	0.06170279848	0.02348143334	2.51259007	0.08634480966	0.06307082415	0.02327398553	7.681722833
2	1	0.1	0.3	0.02	0	1	0.15	1.02	0.3	1.04	-0.004196166992	-0.05083084106	-0.06799697876	2.540860547	1	0	2.514295356	2.249422752	2.541082471	0.08225752005	0.05324997621	0.02900754386	2.512241502	0.08657966291	0.06323810624	0.0233415567	7.573593163
2	1	0.1	0.3	0.04	0	1	0.15	1.04	0.3	1.08	-0.008487701416	-0.04110336304	-0.05025863647	2.53576371	1	0	2.514295356	2.267959922	2.53597255	0.0820858081	0.05451477197	0.02757103615	2.512465152	0.08643034774	0.06313158267	0.02329876509	7.842297252
2	1	0.1	0.3	0.06	0	1	0.15	1.06	0.3	1.12	-0.01268386841	-0.03614425659	-0.03957748413	2.531874193	1	0	2.514295356	2.298707768	2.532040271	0.08237837228	0.0557813403	0.02659703196	2.512515284	0.08652039332	0.06322279611	0.02329759724	7.621028605
2	1	0.1	0.3	0.08	0	1	0.15	1.08	0.3	1.16	-0.0168800354	-0.03328323364	-0.03213882446	2.528765258	1	0	2.514295356	2.310354977	2.528605271	0.08270972459	0.05681896232	0.02589076223	2.512338184	0.08659207901	0.06326607926	0.02332599977	7.629314678
2	1	0.1	0.3	0.1	0	1	0.15	1.1	0.3	1.2	-0.02126693726	-0.03175735474	-0.02660751343	2.52622143	1	0	2.514295356	2.320700009	2.525736612	0.08281630571	0.05754897143	0.02526733427	2.51218855	0.08657825736	0.06323115116	0.02334710623	7.905715212
2	1	0.1	0.3	0.12	0	1	0.15	1.12	0.3	1.24	-0.02546310425	-0.03099441528	-0.02222061157	2.524111912	1	0	2.514295356	2.338168553	2.52369336	0.08318421353	0.05835145385	0.02483275968	2.51232849	0.08662916509	0.0632948883	0.02333427681	7.656688416
2	1	0.1	0.3	0.14	0	1	0.15	1.14	0.3	1.28	-0.03004074097	-0.03061294556	-0.01859664917	2.52234794	1	0	2.514295356	2.34757574	2.521870892	0.08346709512	0.05900170752	0.02446538759	2.51232392	0.08662513626	0.06329134456	0.02333379172	7.664017315
2	1	0.1	0.3	0.16	0	1	0.15	1.16	0.3	1.32	-0.03442764282	-0.03080368042	-0.01573562622	2.520864108	1	0	2.514295356	2.780044525	2.520315555	0.08369369704	0.05953540063	0.02415829634	2.512373668	0.08662451802	0.06329921544	0.02332530261	8.096264411
2	1	0.1	0.3	0.18	0	1	0.15	1.18	0.3	1.36	-0.0391960144	-0.03118515015	-0.013256073	2.519612999	1	0	2.514295356	2.362612247	2.518968134	0.08398130469	0.06003390554	0.02394739915	2.512362297	0.08662219556	0.06329081128	0.02333138429	7.679667786
2	1	0.1	0.3	0.2	0	1	0.15	1.2	0.3	1.4	-0.04396438599	-0.0319480896	-0.0111579895	2.518556606	1	0	2.514295356	2.374402461	2.517746432	0.08431236586	0.0605192378	0.02379312807	2.512266086	0.08665807696	0.0633160945	0.02334198248	7.689590976
2	1	0.1	0.4	0.02	0	1	0.2	1.02	0.4	1.04	-0.003910064697	-0.06227493286	-0.08401870728	2.552692755	1	0	2.514295356	2.592685482	2.553115457	0.08095696219	0.04992853568	0.0310284265	2.512293568	0.08672938827	0.06338689309	0.0233424952	7.918844615
2	1	0.1	0.4	0.04	0	1	0.2	1.04	0.4	1.08	-0.007724761963	-0.0506401062	-0.06341934204	2.54630012	1	0	2.514295356	2.275214497	2.546281049	0.08102913087	0.05155126012	0.02947787074	2.512032262	0.08676302632	0.06338271679	0.02338030955	7.59775993
2	1	0.1	0.4	0.06	0	1	0.2	1.06	0.4	1.12	-0.01173019409	-0.04453659058	-0.05121231079	2.54128655	1	0	2.514295356	2.288116531	2.541446056	0.08100170498	0.0528811654	0.02812053958	2.512390176	0.08670338544	0.06337293013	0.02333045532	7.851136051
2	1	0.1	0.4	0.08	0	1	0.2	1.08	0.4	1.16	-0.01554489136	-0.04072189331	-0.04243850708	2.537179876	1	0	2.514295356	2.314774128	2.537231877	0.081316745	0.0541278148	0.0271889302	2.512291297	0.08668100163	0.06334420551	0.02333679615	7.639994103
2	1	0.1	0.4	0.1	0	1	0.2	1.1	0.4	1.2	-0.01955032349	-0.03824234009	-0.035572052	2.533738555	1	0	2.514295356	2.329599988	2.533589775	0.08162723034	0.05524330039	0.02638392999	2.512242018	0.08671404973	0.06336753392	0.02334651583	7.650284289
